study,Reference,Case,Location ,Location 2,coordinate 1,coordinate 2,Region,Climate,Mean annual precipitation (mm),MAP (2001-2009),NDVI aster,NDVI,Soilwet,part of the gradient,gradient 2,Study type,Performance estimator,Performance estimator2,SGH test?,Study mechanism?,suggested mechanism,Neighbor life-form,Neighbor life-form2,Neighbor life-form3,Neighbor life-form4,Neighbor species,Target life-form1,Target life-form2,Target life-form3,Target species,Target ontogenetic phase2,Target ontogenetic phase,Balance interaction,OBS,Main Hypothesis or Question,data usable fo Meta?,ask the authors?,META DATA,survival with neighbor,survival control,dead with neighbor,dead control,,MEANc,MEANe,SDc,SDe,Nc,Ne,SEc,SEe
45,"Franks SJ, 2003",45.16,"Georgia, USA",,,,temperate,NA,NA,881,0.193,8,6090,foredune,1,experimental,survival,survival,,,,shrub,shrub,shrub,wood,Iva imbricata,shrub,shrub,wood,Iva imbricata,juveniles,young,positive,,,"NO, because the author pooled data to present the graphic",YES,NO,,,,,,,,,,,,,
45,"Franks SJ, 2003",45.17,"Georgia, USA",,,,temperate,NA,NA,881,0.193,8,6090,mid-dune,2,experimental,survival,survival,,,,grass,grass,herb,non-wood,Uniola paniculata,grass,herb,non-wood,Uniola paniculata,juveniles,young,positive,,,"NO, because the author pooled data to present the graphic",YES,NO,,,,,,,,,,,,,
45,"Franks SJ, 2003",45.18,"Georgia, USA",,,,temperate,NA,NA,881,0.193,8,6090,mid-dune,2,experimental,survival,survival,,,,shrub,shrub,shrub,wood,Iva imbricata,grass,herb,non-wood,Uniola paniculata,juveniles,young,positive,,,"NO, because the author pooled data to present the graphic",YES,NO,,,,,,,,,,,,,
45,"Franks SJ, 2003",45.19,"Georgia, USA",,,,temperate,NA,NA,881,0.193,8,6090,mid-dune,2,experimental,survival,survival,,,,grass,grass,herb,non-wood,Uniola paniculata,shrub,shrub,wood,Iva imbricata,juveniles,young,positive,,,"NO, because the author pooled data to present the graphic",YES,NO,,,,,,,,,,,,,
45,"Franks SJ, 2003",45.20,"Georgia, USA",,,,temperate,NA,NA,881,0.193,8,6090,mid-dune,2,experimental,survival,survival,,,,shrub,shrub,shrub,wood,Iva imbricata,shrub,shrub,wood,Iva imbricata,juveniles,young,positive,,,"NO, because the author pooled data to present the graphic",YES,NO,,,,,,,,,,,,,
45,"Franks SJ, 2003",45.21,"Georgia, USA",,,,temperate,NA,NA,881,0.193,8,6090,rear dune,2,experimental,survival,survival,,,,grass,grass,herb,non-wood,Uniola paniculata,grass,herb,non-wood,Uniola paniculata,juveniles,young,positive,,,"NO, because the author pooled data to present the graphic",YES,NO,,,,,,,,,,,,,
45,"Franks SJ, 2003",45.22,"Georgia, USA",,,,temperate,NA,NA,881,0.193,8,6090,rear dune,2,experimental,survival,survival,,,,shrub,shrub,shrub,wood,Iva imbricata,grass,herb,non-wood,Uniola paniculata,juveniles,young,positive,,,"NO, because the author pooled data to present the graphic",YES,NO,,,,,,,,,,,,,
45,"Franks SJ, 2003",45.23,"Georgia, USA",,,,temperate,NA,NA,881,0.193,8,6090,rear dune,2,experimental,survival,survival,,,,grass,grass,herb,non-wood,Uniola paniculata,shrub,shrub,wood,Iva imbricata,juveniles,young,positive,,,"NO, because the author pooled data to present the graphic",YES,NO,,,,,,,,,,,,,
45,"Franks SJ, 2003",45.24,"Georgia, USA",,,,temperate,NA,NA,881,0.193,8,6090,rear dune,2,experimental,survival,survival,,,,shrub,shrub,shrub,wood,Iva imbricata,shrub,shrub,wood,Iva imbricata,juveniles,young,positive,,,"NO, because the author pooled data to present the graphic",YES,NO,,,,,,,,,,,,,
50,"Joy DA, Young DR, 2002",50.07,"Virginia, USA",,,,temperate,NA,NA,958,0.256,6.9,6233,open shrub,2,experimental,survival,survival,,somewhat,correlative: reduced PAR and soil temperature under nurse and also higher moisture content and organic matter,tree,tree,tree,wood,Juniperus virginiana,tree,tree,wood,Sassafras albidum,seedlings (2 years old),young,neutral,high mortality,,YES,NA,YES,0,0,74,74,,,,,,,,,
50,"Joy DA, Young DR, 2002",50.08,"Virginia, USA",,,,temperate,NA,NA,958,0.256,6.9,6233,open shrub,2,experimental,survival,survival,,somewhat,correlative: reduced PAR and soil temperature under nurse and also higher moisture content and organic matter,tree,tree,tree,wood,Juniperus virginiana,tree,tree,wood,Prunus serotina,seedlings (2 years old),young,positive,"just a graphic result, any test is presented",,YES,NA,YES,17,3,79,93,,,,,,,,,
55,"De Villiers AJ, Van Rooyen MW, Theron GK, 2001",55.21,South Africa,,,,temperate,NA,282,192,,3.3,3600,open shrub,2,experimental,survival,survival,,,,shrub,shrub,shrub,wood,Zygophyllum morgsana,several,several,several,all,seedlings,young,neutral,,,NO not provide N,YES,NO,,,,,,,,,,,,,
55,"De Villiers AJ, Van Rooyen MW, Theron GK, 2001",55.22,South Africa,,,,temperate,NA,282,192,,3.3,3600,open shrub,2,experimental,survival,survival,,,,shrub,shrub,shrub,wood,Zygophyllum morgsana,several,several,several,all,seedlings,young,neutral,,,NO not provide N,YES,NO,,,,,,,,,,,,,
55,"De Villiers AJ, Van Rooyen MW, Theron GK, 2001",55.23,South Africa,,,,temperate,NA,282,192,,3.3,3600,open shrub,2,experimental,survival,survival,,,,shrub,shrub,shrub,wood,Zygophyllum morgsana,several,several,several,all,seedlings,young,neutral,,,NO not provide N,YES,NO,,,,,,,,,,,,,
55,"De Villiers AJ, Van Rooyen MW, Theron GK, 2001",55.24,South Africa,,,,temperate,NA,282,192,,3.3,3600,open shrub,2,experimental,survival,survival,,,,shrub,shrub,shrub,wood,Zygophyllum morgsana,several,several,several,all,seedlings,young,neutral,,,NO not provide N,YES,NO,,,,,,,,,,,,,
55,"De Villiers AJ, Van Rooyen MW, Theron GK, 2001",55.25,South Africa,,,,temperate,NA,282,192,,3.3,3600,open shrub,2,experimental,survival,survival,,,,shrub,shrub,shrub,wood,Zygophyllum morgsana,several,several,several,all,seedlings,young,neutral,,,NO not provide N,YES,NO,,,,,,,,,,,,,
56,"Gagne JM, Houle G, 2001",56.03,"Quebec, Canada",,,,subartic,NA,650,680,0.116,3.3,5781,embryo dunes,1,pattern,occurrence,occurrence,,,,forb,forb,herb,non-wood,Honckenya peploides,grass,herb,non-wood,Leymus mollis,seedlings,young,positive,,,"NO, the authors didn't provide the occurrence data, just provide the G test statistics. Beyond that it's not so clear if is occurrence sice they called ""frequency"". We could ask but considering we have a small N for occurrence probably it is not necessary",NO,NO,,,,,,,,,,,,,
59,"Shumway SW, 2000",59.09,"Massachusetts, USA",,,,temperate,NA,NA,1049,0.114,7.1,6498,primary dunes (open shrub),2,experimental,survival,survival,,,,shrub,shrub,shrub,wood,Myrica pensylvanica,grass,herb,non-wood,Ammophila breviligulata,seedling,young,neutral,,,YES,NA,YES,8,12,92,88,,,,,,,,,
59,"Shumway SW, 2000",59.10,"Massachusetts, USA",,,,temperate,NA,NA,1049,0.114,7.1,6498,primary dunes (open shrub),2,experimental,survival,survival,,,,shrub,shrub,shrub,wood,Myrica pensylvanica,forb,herb,non-wood,Solidago sempervirens,seedling,young,neutral,,,YES,NA,YES,22,21,78,79,,,,,,,,,
88,"Le Bagousse-Pinguet, Yoann; Forey, Estelle; Touzard, Blaise; Michalet, Richard, 2013",88.1,Aquitaine,France,44° 43' N,01° 14' W,temperate,temperate oceanic,875,,,,,grey dunes,2,experimental,survival,survival,,no,NA,forb,forb,herb,non-wood,Helichrysum stoechas,grass,herb,non-wood,Festuca vasconensis,"not informed, but I suppose is adult",not informed,,the study test the effect of fertilization and water addition on plant interactions. I only included the control plots (no fertilization an dno water addition) in order to represent the more natural conditions,,"No, because the authors present only the survival data without neighbor (control in Fig1). Is necessary to ask the survival with neighbor.","YES, e-mail sent in 28 June 2013",YES,,,,,,0.71,0.71,0.71,0.71,7,7,0.27,0.27
88,"Le Bagousse-Pinguet, Yoann; Forey, Estelle; Touzard, Blaise; Michalet, Richard, 2013",88.2,Aquitaine,France,44° 43' N,01° 14' W,temperate,temperate oceanic,875,,,,,grey dunes,2,experimental,survival,survival,,no,NA,forb,forb,herb,non-wood,Helichrysum stoechas,forb,herb,non-wood,Senecio inaequidens,"not informed, but I suppose is adult",not informed,,the study test the effect of fertilization and water addition on plant interactions. I only included the control plots (no fertilization an dno water addition) in order to represent the more natural conditions,,"No, because the authors present only the survival data without neighbor (control in Fig1). Is necessary to ask the survival with neighbor.","YES, e-mail sent in 28 June 2013",YES,,,,,,0.14,0.24,0.13,0.24,7,7,0.05,0.09
88,"Le Bagousse-Pinguet, Yoann; Forey, Estelle; Touzard, Blaise; Michalet, Richard, 2013",88.3,Aquitaine,France,44° 43' N,01° 14' W,temperate,temperate oceanic,875,,,,,grey dunes,2,experimental,survival,survival,,no,NA,forb,forb,herb,non-wood,Helichrysum stoechas,forb,herb,non-wood,Pancratium maritimum,"not informed, but I suppose is adult",not informed,,the study test the effect of fertilization and water addition on plant interactions. I only included the control plots (no fertilization an dno water addition) in order to represent the more natural conditions,,"No, because the authors present only the survival data without neighbor (control in Fig1). Is necessary to ask the survival with neighbor.","YES, e-mail sent in 28 June 2013",YES,,,,,,0.38,0.43,0.37,0.42,7,7,0.14,0.16
88,"Le Bagousse-Pinguet, Yoann; Forey, Estelle; Touzard, Blaise; Michalet, Richard, 2013",88.4,Aquitaine,France,44° 43' N,01° 14' W,temperate,temperate oceanic,875,,,,,grey dunes,2,experimental,survival,survival,,no,NA,forb,forb,herb,non-wood,Helichrysum stoechas,sub-shrub,shrub,wood,Cistus salviifolius,"not informed, but I suppose is adult",not informed,,the study test the effect of fertilization and water addition on plant interactions. I only included the control plots (no fertilization an dno water addition) in order to represent the more natural conditions,,"No, because the authors present only the survival data without neighbor (control in Fig1). Is necessary to ask the survival with neighbor.","YES, e-mail sent in 28 June 2013",YES,,,,,,0.14,0.29,0.13,0.29,7,7,0.05,0.11
88,"Le Bagousse-Pinguet, Yoann; Forey, Estelle; Touzard, Blaise; Michalet, Richard, 2013",88.5,Aquitaine,France,44° 43' N,01° 14' W,temperate,temperate oceanic,875,,,,,grey dunes,2,experimental,survival,survival,,no,NA,forb,forb,herb,non-wood,Helichrysum stoechas,grass,herb,non-wood,Elymus farctus,"not informed, but I suppose is adult",not informed,,the study test the effect of fertilization and water addition on plant interactions. I only included the control plots (no fertilization an dno water addition) in order to represent the more natural conditions,,"No, because the authors present only the survival data without neighbor (control in Fig1). Is necessary to ask the survival with neighbor.","YES, e-mail sent in 28 June 2013",YES,,,,,,0.52,0.86,0.53,0.85,7,7,0.2,0.32
88,"Le Bagousse-Pinguet, Yoann; Forey, Estelle; Touzard, Blaise; Michalet, Richard, 2013",88.6,Aquitaine,France,44° 43' N,01° 14' W,temperate,temperate oceanic,875,,,,,grey dunes,2,experimental,survival,survival,,no,NA,forb,forb,herb,non-wood,Helichrysum stoechas,forb,herb,non-wood,Oenothera biennis,"not informed, but I suppose is adult",not informed,,the study test the effect of fertilization and water addition on plant interactions. I only included the control plots (no fertilization an dno water addition) in order to represent the more natural conditions,,"No, because the authors present only the survival data without neighbor (control in Fig1). Is necessary to ask the survival with neighbor.","YES, e-mail sent in 28 June 2013",YES,,,,,,0.24,0.38,0.24,0.37,7,7,0.09,0.14
90,"Muhamed, Hassan; Touzard, Blaise; Le Bagousse-Pinguet, Yoann; Michalet, Richard, 2013",90.01,Aquitaine (north - Soulac),France,45° 32' N,01° 05' W,temperate,temperate oceanic,1040,,,,,forest,3,experimental,survival,survival,no tested,no,NA,tree ,tree ,tree,wood,Quercus ilex or Quercus robur,tree,tree,wood,Quercus robur,seedling,young,,The study includes both gap and forest treatment but I also consider forest treat because I suppose it represent better the forest dune.,,YES,NO,YES,,,,,,44.1,53.6,6.6,24.0,6,6,2.7,9.8
90,"Muhamed, Hassan; Touzard, Blaise; Le Bagousse-Pinguet, Yoann; Michalet, Richard, 2013",90.02,Aquitaine (north - Soulac),France,45° 32' N,01° 05' W,temperate,temperate oceanic,1040,,,,,forest,3,experimental,survival,survival,no tested,no,NA,tree ,tree ,tree,wood,Quercus ilex or Quercus robur,tree,tree,wood,Quercus ilex,seedling,young,,The study includes both gap and forest treatment but I also consider forest treat because I suppose it represent better the forest dune.,,YES,NO,YES,,,,,,24,34.3,13.2,14.0,6,6,5.40,5.7
90,"Muhamed, Hassan; Touzard, Blaise; Le Bagousse-Pinguet, Yoann; Michalet, Richard, 2013",90.03,Aquitaine (north - Soulac),France,45° 32' N,01° 05' W,temperate,temperate oceanic,1040,,,,,forest,3,experimental,survival,survival,no tested,no,NA,tree ,tree ,tree,wood,Quercus ilex or Quercus robur,tree,tree,wood,Quercus suber,seedling,young,,The study includes both gap and forest treatment but I also consider forest treat because I suppose it represent better the forest dune.,,YES,NO,YES,,,,,,16.8,7.6,22.8,8.8,6,6,9.3,3.6
90,"Muhamed, Hassan; Touzard, Blaise; Le Bagousse-Pinguet, Yoann; Michalet, Richard, 2013",90.04,Aquitaine (south - Seignosse),France,43° 41' N,01° 25' W,temperate,temperate oceanic,1473,,,,,forest,3,experimental,survival,survival,no tested,no,NA,tree ,tree ,tree,wood,Quercus suber or Ilex aquifolium,tree,tree,wood,Quercus robur,seedling,young,,The study includes both gap and forest treatment but I also consider forest treat because I suppose it represent better the forest dune.,,YES,NO,YES,,,,,,77.5,54.7,26.7,33.8,6,6,10.9,13.8
90,"Muhamed, Hassan; Touzard, Blaise; Le Bagousse-Pinguet, Yoann; Michalet, Richard, 2013",90.05,Aquitaine (south - Seignosse),France,43° 41' N,01° 25' W,temperate,temperate oceanic,1473,,,,,forest,3,experimental,survival,survival,no tested,no,NA,tree ,tree ,tree,wood,Quercus suber or Ilex aquifolium,tree,tree,wood,Quercus ilex,seedling,young,,The study includes both gap and forest treatment but I also consider forest treat because I suppose it represent better the forest dune.,,YES,NO,YES,,,,,,44.2,38,7.3,5.9,6,6,3,2.4
90,"Muhamed, Hassan; Touzard, Blaise; Le Bagousse-Pinguet, Yoann; Michalet, Richard, 2013",90.06,Aquitaine (south - Seignosse),France,43° 41' N,01° 25' W,temperate,temperate oceanic,1473,,,,,forest,3,experimental,survival,survival,no tested,no,NA,tree ,tree ,tree,wood,Quercus suber or Ilex aquifolium,tree,tree,wood,Quercus suber,seedling,young,,The study includes both gap and forest treatment but I also consider forest treat because I suppose it represent better the forest dune.,,YES,NO,YES,,,,,,54.4,11.6,9.8,15.2,6,6,4,6.2
84,"Santoro, Riccardo; Jucker, Tommaso; Carboni, Marta; Acosta, Alicia T. R., 2012",84.1,Lazio,Italy,,,temperate,mediterranean,,,,,,embryo dune,1,pattern,occurrence,occurrence,yes,no,NA,several,mix,mix,both,several,several,mix,mix,several,several,all (less seeds),positive,"this study test how the presence of a invasive species change the interaction between plants along the gradient. Here we report information only from ""native"" plots. Anyway, it is not possible to use data in the meta-analysis because they use co-occurrence indices to make inferences.",,,,,,,,,,,,,,,,,
84,"Santoro, Riccardo; Jucker, Tommaso; Carboni, Marta; Acosta, Alicia T. R., 2012",84.2,Lazio,Italy,,,temperate,mediterranean,,,,,,mobile dune,1,pattern,occurrence,occurrence,yes,no,NA,several,mix,mix,both,several,several,mix,mix,several,several,all (less seeds),positive,"this study test how the presence of a invasive species change the interaction between plants along the gradient. Here we report information only from ""native"" plots. Anyway, it is not possible to use data in the meta-analysis because they use co-occurrence indices to make inferences.",,,,,,,,,,,,,,,,,
84,"Santoro, Riccardo; Jucker, Tommaso; Carboni, Marta; Acosta, Alicia T. R., 2012",84.3,Lazio,Italy,,,temperate,mediterranean,,,,,,transition dune,2,pattern,occurrence,occurrence,yes,no,NA,several,mix,mix,both,several,several,mix,mix,several,several,all (less seeds),neutral,"this study test how the presence of a invasive species change the interaction between plants along the gradient. Here we report information only from ""native"" plots. Anyway, it is not possible to use data in the meta-analysis because they use co-occurrence indices to make inferences.",,"NO, they didn't provide the required data. They used co-occurrence indices adopting plots with 2x2m (what I think is to wide to look for plant interactions.",NO,NO,,,,,,,,,,,,,
84,"Santoro, Riccardo; Jucker, Tommaso; Carboni, Marta; Acosta, Alicia T. R., 2012",84.4,Lazio,Italy,,,temperate,mediterranean,,,,,,fixed dune with Juniperus,2,pattern,occurrence,occurrence,yes,no,NA,several,mix,mix,both,several,several,mix,mix,several,several,all (less seeds),negative,"this study test how the presence of a invasive species change the interaction between plants along the gradient. Here we report information only from ""native"" plots. Anyway, it is not possible to use data in the meta-analysis because they use co-occurrence indices to make inferences.",,"NO, they didn't provide the required data. They used co-occurrence indices adopting plots with 2x2m (what I think is to wide to look for plant interactions.",NO,NO,,,,,,,,,,,,,
86,"Castanho, Camila T.; Oliveira, Alexandre A.; Prado, Paulo Inacio, 2012",86.1,São Paulo,Brazil,25° 12' S,44° 16' W,tropical,,1890,,,,,scrub,2,pattern,occurrence,occurrence,yes,no,NA,tree,tree,tree,wood,several,tree,tree,wood,several,young,young,positive,"this study compares de occurrence of target life-forms with and without adult neighbors along distinct distances from the seashore. Since I'm not interested in the stress influence and also in order to avoid replication of similar data, I took together the data from all distances (Figure2).",,YES,NO,YES,,,,,,,,,,,,,
86,"Castanho, Camila T.; Oliveira, Alexandre A.; Prado, Paulo Inacio, 2012",86.2,São Paulo,Brazil,25° 12' S,44° 16' W,tropical,,1890,,,,,scrub,2,pattern,occurrence,occurrence,yes,no,NA,tree,tree,tree,wood,several,shrub,shrub,wood,several,several,all (less seeds),neutral,"this study compares de occurrence of target life-forms with and without adult neighbors along distinct distances from the seashore. Since I'm not interested in the stress influence and also in order to avoid replication of similar data, I took together the data from all distances (Figure2).",,YES,NO,YES,,,,,,,,,,,,,
86,"Castanho, Camila T.; Oliveira, Alexandre A.; Prado, Paulo Inacio, 2012",86.3,São Paulo,Brazil,25° 12' S,44° 16' W,tropical,,1890,,,,,scrub,2,pattern,occurrence,occurrence,yes,no,NA,tree,tree,wood,several,,liana,liana,mix,several,several,all (less seeds),neutral,"this study compares de occurrence of target life-forms with and without adult neighbors along distinct distances from the seashore. Since I'm not interested in the stress influence and also in order to avoid replication of similar data, I took together the data from all distances (Figure2).",,YES,NO,YES,,,,,,,,,,,,,
86,"Castanho, Camila T.; Oliveira, Alexandre A.; Prado, Paulo Inacio, 2012",86.4,São Paulo,Brazil,25° 12' S,44° 16' W,tropical,,1890,,,,,scrub,2,pattern,occurrence,occurrence,yes,no,NA,tree,tree,wood,several,,herb,herb,non-wood,several,several,all (less seeds),neutral,"this study compares de occurrence of target life-forms with and without adult neighbors along distinct distances from the seashore. Since I'm not interested in the stress influence and also in order to avoid replication of similar data, I took together the data from all distances (Figure2).",,YES,NO,YES,,,,,,,,,,,,,